ANO,MÊS,DIA,Viana do Castelo,Braga,Vila Real,Bragança,Porto,Aveiro,Viseu,Guarda,Coimbra,Castelo Branco,Leiria,Santarém,Portalegre,Lisboa,Setúbal,Évora,Beja,Faro
2010,5,13,-990,27352.7,13449.8,14137.7,27200.8,-990,12132.9,12033.6,24568.7,21212.5,26704.8,26429.4,20058.3,26443.6,24548.4,24775.8,21733,28315.6
2010,5,14,-990,9879.2,12313.6,14124.1,18123.5,-990,8447,10958.3,14541.8,17790.7,16211.9,22886.7,15714.8,17286.7,16931.8,21338.9,21705.2,24887
2010,5,15,-990,23174.7,25697.2,27896.8,26526.4,-990,26571,29043.2,27037.9,31829.4,26587.4,26171.4,30811.4,23376.5,-990,31488.6,29892.2,30220.1
2010,5,16,-990,28060.3,30018.9,30383,30373.9,-990,31411.6,31898.2,30514.9,31742.2,27966.3,29235,29690.6,29818.5,28371,31264.2,29896.5,30764.9
2010,5,17,-990,27611.9,29668.5,29957.5,30069.1,-990,31468.1,31887.4,30459.9,31906.1,28362.9,29920,31079.7,30754.3,28800.8,31802.9,30031.5,31197.4
2010,5,18,-990,27749.9,29149.5,29718.5,-990,-990,30950.6,31543.7,30086.7,31393.4,27828.1,29742.3,30758.3,30544.9,28776.4,31624.4,29325.2,30762.7
2010,5,19,-990,28048.7,29661.2,29956.8,30205,-990,31068.5,31718.4,29976.1,31012.9,27511.5,29798.1,30778.7,30484.6,28670.4,31440.9,29134.4,30789
2010,5,20,-990,28745.9,29909.6,29626.7,30340.1,-990,31683.3,32117.6,30491.5,33730.5,28288.9,29899.4,30850.5,30473.7,28636.8,31484.7,29454.1,31303
2010,5,21,-990,28429.7,30024,30687.1,28012.4,-990,31784.1,31971.6,30399.7,34148.2,28212.9,29447.4,30838.4,29944.3,27859.2,30853,28715.5,29275.6
2010,5,22,-990,28165.6,29560,30596.4,30067.5,-990,30610,31848.6,30106.5,33629.8,27633.3,28760.5,30173.1,29271.6,27586.6,30141.1,28565.5,29612.2
2010,5,23,-990,26540.8,25700,29942.1,29364.2,-990,29598.4,31392.1,29565.3,32375.4,26663.7,27905.9,29950.6,26514.4,25890,30182.6,28374.7,14161.9
2010,5,24,-990,19552.6,20122.8,21747.8,25743.1,-990,22648.9,15353.5,24810.3,24020.7,24420,24952.4,17528.3,25971.8,27942.1,25003.6,28648.5,31131.8
2010,5,25,-990,13572,17601.5,12932.8,18889.9,23765.9,13934.4,8634.2,15855.8,12668.2,15112.9,10497.3,9035.5,11646.3,16802.1,19084.8,20724.7,22689.8
2010,5,26,-990,14909,22249.1,17600.7,-990,17671.3,15086,21090.5,19085.6,27701.3,19076.3,15507.5,20380.8,16568.5,18553.4,18416.2,23059.8,29625.4
2010,5,27,-990,18941.1,16625,19831.7,-990,17796.1,19622.7,25621,14760.2,25298,21833.9,19984,24235.7,27189.6,20763.9,21529.1,21112.5,26177.6
2010,5,28,-990,24972,26204.5,28981.8,31126.9,28887.5,27215.3,30755.8,25523.8,30974.6,27891.9,27109.9,27105.5,23251.8,22955.2,26210,23470,26854.2
2010,5,29,-990,13886.5,24661.2,30130.8,24945.3,24275.3,26461.6,31964.9,24917.3,31670.8,23616.7,24829,30395.3,19835.3,24825.9,30918.6,29930.5,29897
