STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,projection,Type of projection,age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2045,,365335,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2050,,348949,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2055,,331476,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2060,,314197,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2065,,297978,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2070,,283238,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2075,,270118,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2080,,258502,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2085,,248047,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2090,,238499,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2095,,230058,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11C,Tâmega e Sousa,2100,,222973,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11D,Douro,2019,,191101,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11D,Douro,2020,,190496,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11D,Douro,2025,,184836,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11D,Douro,2030,,178678,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11D,Douro,2035,,172896,,,,,
dataflow,ESTAT:PROJ_19RP3(1.0),"Population on 1st January by age, sex, type of projection and NUTS 3 region",A,Annual,BSL,Baseline projections,TOTAL,Total,T,Total,PER,Person,PT11D,Douro,2040,,166842,,,,,
