Data;Ano;Mês;ano_mes;Distrito;Concelho;Nível de Tensão;Potência Instalada (kW);Número de Instalações;Energia Injetada (kWh);Código Distrito;Código Concelho;Código Freguesia
2024-07;2024;07;202407;Viseu;Viseu;BTN/BTE;7980.690000000019;3103;553839.2020000007;18;1823;182300
2024-07;2024;07;202407;Aveiro;Águeda;MT/AT;18456.899999999998;112;760381.484;01;0101;010100
2024-07;2024;07;202407;Évora;Alandroal;MT/AT;64.16;4;5463.25;07;0701;070100
2024-07;2024;07;202407;Vila Real;Vila Real;BTN/BTE;3534.370000000001;1403;222544.09599999958;17;1714;171400
2024-07;2024;07;202407;Vila Real;Vila Real;MT/AT;1957.53;14;15071.5;17;1714;171400
2024-06;2024;06;202406;Évora;Portel;MT/AT;730.25;8;101188.5;07;0709;070900
2024-07;2024;07;202407;Santarém;Golegã;MT/AT;1143.33;7;10276.25;14;1412;141200
2024-07;2024;07;202407;Santarém;Golegã;BTN/BTE;721.9699999999993;211;51913.07399999989;14;1412;141200
2024-07;2024;07;202407;Santarém;Alpiarça;BTN/BTE;543.5299999999999;216;36398.31999999995;14;1404;140400
2024-07;2024;07;202407;Évora;Viana do Alentejo;MT/AT;950.0999999999999;8;57518.0;07;0713;071300
2024-07;2024;07;202407;Leiria;Porto de Mós;MT/AT;6040.719999999999;32;144724.5;10;1016;101600
2024-07;2024;07;202407;Aveiro;Espinho;MT/AT;1617.69;8;13568.75;01;0107;010700
2024-07;2024;07;202407;Aveiro;Sever do Vouga;BTN/BTE;1063.8100000000004;354;75266.00699999991;01;0117;011700
2024-07;2024;07;202407;Faro;Vila do Bispo;BTN/BTE;686.4000000000001;190;48506.217999999935;08;0815;081500
2024-06;2024;06;202406;Faro;Vila do Bispo;MT/AT;245.55;3;2847.0;08;0815;081500
2024-07;2024;07;202407;Évora;Estremoz;MT/AT;1690.2400000000002;12;11811.5;07;0704;070400
2024-07;2024;07;202407;Faro;Lagos;MT/AT;1264.83;12;10937.75;08;0807;080700
2024-07;2024;07;202407;Faro;Lagos;BTN/BTE;3419.0400000000027;876;198050.90999999997;08;0807;080700
2024-07;2024;07;202407;Portalegre;Marvão;BTN/BTE;285.69000000000005;101;16405.391999999985;12;1210;121000
2024-07;2024;07;202407;Porto;Lousada;MT/AT;2298.69;17;122876.5;13;1305;130500
2024-06;2024;06;202406;Viseu;Oliveira de Frades;BTN/BTE;1231.1800000000005;388;60826.049999999974;18;1810;181000
2024-07;2024;07;202407;Viana do Castelo;Paredes de Coura;BTN/BTE;859.0299999999999;225;46057.986999999965;16;1605;160500
2024-07;2024;07;202407;Guarda;Seia;BTN/BTE;1516.6599999999985;590;96498.91399999999;09;0912;091200
2024-07;2024;07;202407;Setúbal;Barreiro;BTN/BTE;1550.1299999999972;652;100726.36399999988;15;1504;150400
2024-07;2024;07;202407;Coimbra;Mira;MT/AT;2241.32;13;91379.5;06;0608;060800
2024-07;2024;07;202407;Aveiro;Aveiro;BTN/BTE;5073.990000000012;2090;373525.2939999992;01;0105;010500
2024-07;2024;07;202407;Vila Real;Alijó;BTN/BTE;785.3099999999997;326;52750.96799999995;17;1701;170100
2024-07;2024;07;202407;Vila Real;Alijó;MT/AT;748.9300000000001;12;48080.0;17;1701;170100
2024-07;2024;07;202407;Coimbra;Vila Nova de Poiares;BTN/BTE;775.1099999999999;298;52408.06499999993;06;0617;061700
2024-07;2024;07;202407;Aveiro;Oliveira do Bairro;BTN/BTE;2583.5100000000016;873;190573.59099999967;01;0114;011400
